,0
1524,SYT2
1525,CEACAM1
1526,ITSN2
1527,SFI1
1528,HEATR1
1529,CDK5RAP2
1530,BYSL
1531,CUL4A
1532,SOCS5
1533,CSF1
1534,SLC2A3
1535,SIN3A
1536,SNX18
1537,NUP62
1538,F8
1539,SERPIND1
1540,GAA
1541,EPS15L1
1542,UTP3
1543,SUZ12
1544,RAB6A
1545,CD33
1546,TMEM63A
1547,OLR1
1548,CEP152
1549,NECAP2
1550,SYT11
1551,ATP11A
1552,KIF5A
1553,NDUFAB1
1554,TSPAN14
1555,FCAR
1556,PDIA6
1557,POLE
1558,AAK1
1559,REPS2
1560,PCSK9
1561,YES1
1562,MBTPS1
1563,TMC6
1564,DCP1A
1565,RHOV
1566,OFD1
1567,GOLGA2
1568,VAV1
1569,RHOBTB2
1570,LDLRAP1
1571,UTP18
1572,DHX37
1573,ATP8B4
1574,ARFGAP1
1575,SOCS2
1576,SUMO2
1577,TLN1
1578,ERCC4
1579,EIF4A2
1580,MIA3
1581,CLEC5A
1582,CD93
1583,CUL4B
1584,NOL6
1585,NOC4L
1586,HGSNAT
1587,CLEC4D
1588,HLA-B
1589,RAP2B
1590,HLA-C
1591,KLC3
1592,CEP250
1593,TRAF6
1594,KTN1
1595,CHRDL1
1596,PACSIN1
1597,DGAT1
1598,TARM1
1599,CEP57
1600,RAF1
1601,CLIP1
1602,HAUS4
1603,EPN2
1604,SSNA1
1605,PACSIN2
1606,CD53
1607,IGFBP4
1608,IGFBP5
1609,NUP93
1610,WDR75
1611,HIP1
1612,PAK1
1613,ELL
1614,KLC1
1615,CEP76
1616,HAUS8
1617,MATN3
1618,GAPVD1
1619,BMP15
1620,CCNT1
1621,POLE4
1622,APLP2
1623,SLC2A8
1624,AMPH
1625,FNBP1
1626,TRPM2
1627,PRKCA
1628,CNTRL
1629,RAE1
1630,VNN1
1631,FEM1A
1632,CEP131
1633,CEP135
1634,LAS1L
1635,NOTUM
1636,LTBP1
1637,GBF1
1638,RPN1
1639,ANO6
1640,NUF2
1641,ALDH3B1
1642,POLE2
1643,BET1
1644,AMBN
1645,CCP110
1646,RHOF
1647,PTGDR
1648,GORASP1
1649,POM121C
1650,ENAM
1651,HAUS1
1652,CEP78
1653,HLA-G
1654,MCEMP1
1655,HAUS5
1656,CP
1657,TAF6
1658,SCARB2
1659,CYR61
1660,PRKCSH
1661,CEP70
1662,HAUS6
1663,KIF4B
1664,PPARG
1665,NAPB
1666,TSR1
1667,CDKN1A
1668,AMTN
1669,SDCCAG8
1670,PACSIN3
1671,RFC1
1672,KLC4
1673,ARF4
1674,AAAS
1675,ITIH2
1676,GTF2B
1677,AGPAT2
1678,APOL1
1679,TUBG1
1680,PCNT
1681,BIRC3
1682,MGAT4A
1683,UTP11L
1684,NUP88
1685,NINL
1686,RPN2
1687,POM121
1688,ANO8
1689,IGFBP1
1690,PCM1
1691,TCEA1
1692,ITGAL
1693,IDH1
1694,SCG3
1695,ALMS1
1696,HAUS7
1697,NUCB1
1698,IMPDH1
1699,SPARCL1
1700,NDC1
1701,NCOA6
1702,HIST3H2A
1703,SOCS6
1704,FAM20A
1705,CCNT2
1706,DEGS1
1707,CEP63
1708,HIST1H2AA
1709,CEP72
1710,HAUS2
1711,NUP188
1712,KIF22
1713,IGF1
1714,GTF2A1
