"id","tissue","FileID","group","sex"
"3700","striatum","JB234","7d_DSS_7d_H2O","M"
"3701","striatum","JB235","7d_DSS","M"
"3702","striatum","JB236","7d_DSS","M"
"3703","striatum","JB237","7d_DSS","M"
"3704","striatum","JB238","7d_DSS_2d_H2O","M"
"3705","striatum","JB239","7d_DSS_2d_H2O","M"
"3706","striatum","JB240","7d_DSS_5d_H2O","F"
"3707","striatum","JB241","7d_DSS_7d_H2O","F"
"3708","striatum","JB242","7d_DSS_5d_H2O","F"
"3709","striatum","JB243","5d_DSS","F"
"3710","striatum","JB244","7d_DSS","F"
"3711","striatum","JB245","7d_DSS_5d_H2O","M"
"3712","striatum","JB246","7d_DSS_7d_H2O","M"
"3713","striatum","JB247","7d_DSS_7d_H2O","M"
"3714","striatum","JB248","5d_DSS","F"
"3715","striatum","JB249","7d_DSS","F"
"3716","striatum","JB250","5d_DSS","M"
"3717","striatum","JB251","5d_DSS","M"
"3962","striatum","JB252","7d_DSS_14d_H2O","M"
"3963","striatum","JB253","7d_DSS_14d_H2O","M"
"3964","striatum","JB254","7d_DSS_14d_H2O","M"
"3965","striatum","JB255","7d_DSS_14d_H2O","F"
"3966","striatum","JB256","7d_DSS_14d_H2O","F"
"3967","striatum","JB257","7d_DSS_14d_H2O","F"
"3968","striatum","JB258","7d_DSS_14d_H2O","F"
"3970","striatum","JB259","7d_DSS_2d_H2O","M"
"3971","striatum","JB260","7d_DSS_14d_H2O","M"
"3570","striatum","JB261","7d_DSS_2d_H2O","M"
"FC2","striatum","JB262","Untreated","F"
"FC3","striatum","JB263","Untreated","F"
"FC4","striatum","JB264","Untreated","F"
"FC5","striatum","JB265","Untreated","F"
