"id","group","sex","sac_day_weight","sac_day_DAI","spleen_weight","colon_length","circulating_LBP","circulating_IL10","circulating_IL5","circulating_IL6","circulating_KCGRO","circulating_TNF","circulating_CRP","circulating_LCN2"
"FC2","Untreated","F","N/A",NA,0.0536,6.3,2.027636364,9.27047594874954,3.60850157335221,17.0046845595765,88.2997022772253,6.84569720391676,3826066.15502069,23318.2241357826
"FC3","Untreated","F","N/A",NA,0.0727,7.1,1.438545455,9.26860524737816,2.38563088068854,7.39703227333909,47.6844099797943,4.68524587267846,3749162.14362535,27010.0121648242
"FC4","Untreated","F","N/A",NA,0.0723,6.1,0.704,5.39183709379536,4.30187566681979,2.2755677291293,56.2824497093962,4.87600858544663,3404375.11146274,12336.4738570612
"FC5","Untreated","F","N/A",NA,0.0651,6.4,2.478545455,6.8999902782559,2.41202240627147,6.32356618720844,61.3003229221225,5.44477179934995,3939547.12272585,14189.6836122147
"3394","Untreated","F","N/A",NA,0.107,7.3,4.267636364,5.5586953699127,5.16370749772353,6.2011463091929,52.6906963324073,4.30054528947664,4334931.20885921,12315.6780799093
"3395","Untreated","F","N/A",NA,0.078,6.5,1.744,4.39169117237517,7.21684155583326,12.7992254907022,51.2779395158028,3.67319735954363,4104102.37580119,12466.6977308185
"3402","Untreated","F","N/A",NA,0.073,7.5,1.729454545,7.16309883876522,4.90868018787483,5.24796603243165,52.8657891736936,5.01340456229226,4884896.50062271,15430.8037113188
"3677","Untreated","M","N/A",NA,0.0917,7,0.798545455,10.0240377693372,31.1156013169624,30.7108532598177,80.2465652736804,5.08587901028841,3542589.60012958,31624.7710412962
"3678","Untreated","M","N/A",NA,0.0532,5.6,0.653090909,15.7893363779889,19.2032752463551,88.351275742595,144.339732037775,8.31667217543598,4137219.94036169,34648.3581513188
"3430","Untreated","M","N/A",NA,0.0628,6.6,2.296727273,6.33912265870957,1.34640503453738,4.26757460468171,103.439894710505,5.34258571722261,3917308.71414812,18819.5553400393
